question,reference,generated,bleu,rouge_l
What is photosynthesis?,"Photosynthesis is a process used by green plants and other organisms to convert sunlight, water, and carbon dioxide into food and oxygen.","Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy from the sun into chemical energy in the form of organic compounds, such as glucose, using carbon dioxide and water as raw materials. This process occurs in the green parts of plants, mainly the leaves, and involves the use of specialized pigments, such as chlorophyll, to absorb light energy and transfer it to reactions that produce glucose and oxygen.",0.0111,0.25
State Newton's second law of motion.,Newton's second law states that the force acting on an object is equal to the mass of the object multiplied by its acceleration. F equals ma.,"Newton's second law of motion is given by:
F = ma

Where F is the net external force on the body, m is the mass of the body, and a is the acceleration of the body.",0.1062,0.4127
What is mitosis?,Mitosis is a type of cell division in which a single cell divides to produce two identical daughter cells with the same number of chromosomes as the parent cell.,"Mitosis is the equational division of a cell, resulting in the production of two daughter cells with the same genetic material as the parent cell. It is a critical process in the growth and repair of multicellular organisms, as it allows for the continuous replacement of cells in the epidermis, gut lining, and blood cells. Mitosis involves the replication of DNA and the separation of chromosomes, resulting in two identical daughter cells.",0.1111,0.297
What is Ohm's law?,Ohm's law states that the current through a conductor is directly proportional to the voltage across it and inversely proportional to its resistance. V equals IR.,"Ohm's law is a fundamental principle in physics that relates the voltage (V), current (I), and resistance (R) of a conducting material. It states that the current flowing through a conductor is directly proportional to the voltage applied across it, and inversely proportional to the resistance of the conductor. Mathematically, Ohm's law can be written as:
I = V/R
where I is the current in amperes (A), V is the voltage in volts (V), and R is the resistance in ohms (Ω).",0.1622,0.4364
What are covalent bonds?,Covalent bonds are chemical bonds formed by the sharing of electron pairs between atoms. They typically occur between non-metal atoms.,"Covalent bonds are bonds that are formed by the sharing of electrons between two atoms. In a covalent bond, the electrons are shared equally between the two atoms, resulting in a strong chemical bond. Covalent bonds can be single, double, or triple bonds, depending on the number of electrons shared between the atoms.",0.0989,0.3784
What is the structure of DNA?,"DNA is a double helix structure made of two strands of nucleotides. Each nucleotide contains a sugar, a phosphate group, and a nitrogenous base. The bases pair specifically: adenine with thymine and guanine with cytosine.","Based on the information provided in Sources 1-5, the structure of DNA is as follows:
DNA is a long chain polymer of nucleotides, where each nucleotide consists of a base, a pentose sugar, and a phosphate moiety. The sugar moiety is b-D-2-deoxyribose in DNA molecules, while in RNA molecules, it is b-D-ribose. The bases in DNA molecules are adenine, guanine, cytosine, and thymine, while in RNA molecules, the first four bases are the same as those in DNA.
The nucleotides in DNA are joined together by phosphodiester linkage between the 5-carbon atom of the pentose sugar. The formation of a typical dinucleotide is shown in Figure 10.6. The double strand helix structure of DNA is shown in Figure 10.7.
In summary, the structure of DNA is a double helix with two complementary strands of nucleotides joined together by hydrogen bonds between the bases.",0.0426,0.1711
What is the law of conservation of energy?,"The law of conservation of energy states that energy cannot be created or destroyed, only converted from one form to another. The total energy of an isolated system remains constant.","The law of conservation of energy states that the total mechanical energy of a system is conserved if the forces doing work on it are conservative. In other words, the energy of a closed system remains constant over time, as the energy input from external sources is equal to the energy output in the form of work done on the environment. This law is a fundamental principle in mechanics and thermodynamics, and it applies to both isolated and open systems.",0.1107,0.2909
What are enzymes?,Enzymes are biological catalysts that speed up chemical reactions in living organisms without being consumed in the process. They are mostly proteins and are highly specific to their substrates.,"Enzymes are biological molecules that catalyze chemical reactions in living organisms. They are proteins or nucleic acids that speed up chemical processes, reducing the amount of energy required for the reaction to occur. Enzymes are highly specific, meaning they only catalyze one specific reaction or a set of related reactions. They are essential for the proper functioning of metabolic pathways and are involved in many cellular processes, including digestion, metabolism, and energy production.",0.0958,0.2941
What is electromagnetic induction?,Electromagnetic induction is the process of generating an electric current by changing the magnetic field around a conductor. It was discovered by Michael Faraday.,"Electromagnetic induction is the phenomenon in which electric current is generated by varying magnetic fields, as described by Faraday's law of electromagnetic induction. According to this law, a changing magnetic field induces an electric field, which in turn generates an electric current. This phenomenon has practical applications in the generation of alternating currents (AC) through the use of AC generators, which are highly evolved machines with an output capacity of 100 MW. The existence of an emf implies the existence of an electric field, and vice versa, as described by Faraday's law.",0.0405,0.2203
What is chemical equilibrium?,"Chemical equilibrium is the state in which the rate of the forward reaction equals the rate of the reverse reaction, so the concentrations of reactants and products remain constant over time.","Chemical equilibrium is a dynamic equilibrium stage where the rates of forward and reverse reactions become equal, resulting in a constant concentration of reactants and products. This means that there is no change in the concentrations of the various species in the reaction mixture, and the reaction has reached a state of balance. Chemical equilibrium is established for both physical processes and chemical reactions, and the equilibrium constant (Kc or Kp) is independent of the initial concentrations but depends on the temperature and pressure of the system. A change in the concentration of one or more reactants or products will disrupt the equilibrium, leading to a net reaction in one direction until the system returns to equilibrium.",0.0233,0.2432
